YS,SF1,SFDM1,SFZM1,SF2,SFDM2,SFZM2,SF3,SFDM3,SFZM3,ZYZ1,ZYZDM1,ZYZZM1,ZYZ2,ZYZDM2,ZYZZM2,ZYZ3,ZYZDM3,ZYZZM3,YQ1,YQDM1,YQZM1,YQ2,YQDM2,YQZM2,YQ3,YQDM3,YQZM3
颜色,塑粉1,塑粉单门1,塑粉子母1,塑粉2,塑粉单门2,塑粉子母2,塑粉3,塑粉单门3,塑粉子母3,转印纸1,转印纸单门1,转印纸子母1,转印纸2,转印纸单门2,转印纸子母2,转印纸3,转印纸单门3,转印纸子母3,油漆1,油漆单门1,油漆子母1,油漆2,油漆单门2,油漆子母2,油漆3,油漆单门3,油漆子母3
鼎立磨砂,华荣8181,0.5,0.8,,,,,,,吉荣H11193A-27,6,8,,,,,,,,,,,,,,,
顶固磨砂,华荣8181,0.5,0.8,,,,,,,吉荣H1807-3,6,8,,,,,,,,,,,,,,,
黑木磨砂,共成PSW35478,0.5,0.8,,,,,,,照川Z61067-1,6,8,,,,,,,,,,,,,,,
巴西黄花梨,共成PSW35478,0.5,0.8,,,,,,,吉荣H11193A-27,6,8,,,,,,,,,,,,,,,
枫木磨砂,共成PSW35478,0.5,0.8,,,,,,,吉荣H05102-8,6,8,,,,,,,,,,,,,,,
君临天下磨砂,华荣8181,0.5,0.8,,,,,,,照川Z61602,6,8,,,,,,,,,,,,,,,
温馨磨砂,共成PSW35478,0.5,0.8,,,,,,,锦彩HD8082,6,8,,,,,,,,,,,,,,,
紫檀磨砂,共成PSW35478,0.5,0.8,,,,,,,长盛9816A,6,8,,,,,,,,,,,,,,,
白橡木磨砂,华荣E5115,0.9,1.2,,,,,,,吉荣08155-3,6,8,,,,,,,,,,,,,,,
白木磨砂,华荣E5115,0.9,1.2,,,,,,,照川Z61067,6,8,,,,,,,,,,,,,,,
乌木磨砂,共成PSW35478,0.5,0.8,,,,,,,照川Z61087,6,8,,,,,,,,,,,,,,,
尤哥磨砂,共成PSW35478,0.5,0.8,,,,,,,锦彩8018Y,6,8,,,,,,,,,,,,,,,
曲柳磨砂,共成PSW35478,0.5,0.8,,,,,,,锦彩8073Y-3,6,8,,,,,,,,,,,,,,,
幸福转印,华荣E3521,0.6,0.9,,,,,,,照川Z61539-1,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
黄横纹磨砂,中江P1381S,0.6,0.9,华荣T2831,0.2,0.3,,,,照川Z61028-3,4,6,,,,,,,,,,,,,,,
蓝砂闪银,华荣T5841,0.9,1.4,,,,,,,,,,,,,,,,,,,,,,,,
红古铜喷塑,中江D032,0.9,1.4,,,,,,,,,,,,,,,,,,,,,,,,
黑晶木,中江P0080-5,0.6,0.9,,,,,,,佳泰1031,4,6,佳泰1036A,1,2,花樟木,1,2,水性漆4分光,0.35,0.55,,,,,,
开罗磨砂,中江P0077S,0.5,0.8,,,,,,,锦彩4HD8078-3,6,8,,,,,,,,,,,,,,,
开罗转印,中江EP0045,0.5,0.8,,,,,,,锦彩4HD8078-3,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
拿破仑磨砂,中江P0077S,0.5,0.8,,,,,,,吉荣H1560-2,6,8,,,,,,,,,,,,,,,
拿破仑转印,中江EP0045,0.5,0.8,,,,,,,吉荣H1560-2,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
哥伦布转印,中江EP4100,0.6,0.9,,,,,,,欧码8091-3,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
黄柚木磨砂,中江P4243S-8,0.8,1.1,,,,,,,吉荣H1561-1,6,8,,,,,,,,,,,,,,,
崖豆木,中江P0075S,0.5,0.8,,,,,,,锦彩4HD8056-2,6,8,,,,,,,,,,,,,,,
黄铜金花喷塑,华荣T7844,0.9,1.4,,,,,,,,,,,,,,,,,,,,,,,,
瑞士转印,中江EP0045,0.5,0.8,,,,,,,吉荣H10187-8,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
