当前编码,建议正式编码,分类,置信度,备注
G-9015 拉丝黑 - 双活,G-9015 拉丝黑,拉手,高,已按 handle materialCode 修通过
805 - 双活,805,拉手,高,去掉活动后缀
DJ-6847 - 双活,DJ-6847,拉手,高,handle mapping 已有基础名
DJ-86-18 - 带球 - 双活,DJ-86-18 - 带球,拉手,高,handle mapping 已有基础名
DJ-86-30B - 双活,DJ-86-30B,拉手,高,handle mapping 已有基础名
FC-09太空灰 - 单活,FC-09太空灰,拉手,高,handle mapping 已有基础名
SD-9030,SD-9030,锁具,高,lock mapping 已匹配
SD-708,SD-708,锁具,高,lock mapping 已匹配
SD-9069 - 双活双快,SD-9069,锁具,高,去掉活动说明
806-P-16锁体 - 无字,806-P-16锁体 - 无字,锁具,中,当前看起来已是稳定编码
967DC-Z - 无标,967DC-Z - 无标,锁具,中,当前看起来已是稳定编码
AB方头,待人工确认,锁具,低,名称过泛且供应商为待人工处理
90AB微珠锌合金锁芯 - 无标,90AB微珠锌合金锁芯 - 无标,锁芯,中,可先保留
120AB微珠锌合金锁芯 Craft-MAN标,120AB微珠锌合金锁芯 Craft-MAN标,锁芯,中,可先保留
120AB锌合金高低齿铜锁芯,120AB锌合金高低齿铜锁芯,锁芯,中,可先保留
110AB32-2锌合金钥匙字母复合锌包铜锁芯,110AB32-2锌合金钥匙字母复合锌包铜锁芯,锁芯,中,可先保留
70AB新款白板红2+黑5/曲线,70AB新款白板红2+黑5/曲线,锁芯,中,可先保留
70AB铝包铜新款白板红2+黑5曲线,70AB铝包铜新款白板红2+黑5曲线,锁芯,中,可先保留
F7大屏智能指纹锁（C1)  - 英文,120AB大屏C1指纹锁配套锁芯,锁芯,中,建议回到中文业务名
中控锁叉,中控锁叉,锁叉,中,可先保留
螺纹中控,螺纹中控,锁叉,中,可先保留
单头锁叉 - 上头,单头锁叉 - 上头,锁叉,中,建议规格留在 spec
单头锁叉 - 下头,单头锁叉 - 下头,锁叉,中,建议规格留在 spec
单头锁叉 T型 - 上头,单头锁叉 T型 - 上头,锁叉,中,建议规格留在 spec
单头锁叉 T型 - 下头,单头锁叉 T型 - 下头,锁叉,中,建议规格留在 spec
双头锁叉 - 上头 P66,双头锁叉 - 上头 P66,锁叉,中,P66 保留在编码可接受
双头锁叉 - 下头 P66,双头锁叉 - 下头 P66,锁叉,中,P66 保留在编码可接受
960*2050/7/内开外包,PKG-960x2050-7-内开外包,包装,低,需先统一包装编码规则
1200*2050/7/内开外包,PKG-1200x2050-7-内开外包,包装,低,需先统一包装编码规则
960*2400/7/内开外包,PKG-960x2400-7-内开外包,包装,低,需先统一包装编码规则
1200*2400/7/内开外包,PKG-1200x2400-7-内开外包,包装,低,需先统一包装编码规则
1200*2050/5/内开外包,PKG-1200x2050-5-内开外包,包装,低,需先统一包装编码规则
1200*2400/10/内开外包,PKG-1200x2400-10-内开外包,包装,低,需先统一包装编码规则
900*2400/10/内开外包,PKG-900x2400-10-内开外包,包装,低,需先统一包装编码规则
960*2050/10/外开,PKG-960x2050-10-外开,包装,低,需先统一包装编码规则
960*2050/5/内开外包,PKG-960x2050-5-内开外包,包装,低,需先统一包装编码规则
960*2050/9/外开,PKG-960x2050-9-外开,包装,低,需先统一包装编码规则
960*2140/5/内开外包,PKG-960x2140-5-内开外包,包装,低,需先统一包装编码规则
970*2040/10/内开外包,PKG-970x2040-10-内开外包,包装,低,需先统一包装编码规则
